Author,Text,Rating,NormalizedRating
A O'Connell,Showers toilets decent range of snacks and drinks together with newspapers and mags. It is bright and airy and has a quite zone.,4,0.550519389
Alan Wan,Bright and spacious lounge. Drink and food selection reasonable but not brilliant. It is on two levels I would choose the upper level as the views are better but food choice slightly better downstairs.,4,0.550519389
Alan Wan,I used this lounge for a .am departure. It was not very busy but was claustrophobic. The staff were welcoming and seemed happy to play with a passenger's toddler. The seating could do with a good clean. Food limited - cereal cheap cheese and biscuits and even cheaper croissants. As a Gold Circle member I had free entry - but if you have to pay don't bother.,3,-0.232618709
Patrick Jordan,The new lounge spans two floors with views of the apron A water feaTUre dominates one wall. There are work stations and complimentary wifi. The range of food on offer during the early morning is sufficient and a bar service is available. This lounge has own showers and washrooms something the former lounge lacked. The lounge is also open to non FFP members for a euro fee.,4,0.550519389
M Berman,Sitting here now kicking myself that I bought a day pass. Absolutely the most dismal depressing miserable lounge. In a windowless bunker. Shoddy uncomfortable furniture inedible old sandwiches indifferent attendant. I guess the troubles in Ireland filter down to their Airport lounges.,2,-1.015756808
N Holohan,Ample seating including armchairs and full-length recliners. Complimentary WiFi and a number of booths to work on your laptop along with three or four PCs (with very old software!). Staff helpful and courteous. Bar has a selection of hot and cold drinks including soft drinks and alcohol. A limited selection of hot food. Large selection of newspapers.,5,1.333657488
D Berry,Not to the same standard as other lounges (eg. Amsterdam) but actually pretty good. Staff (when they're there) are nice and the lounge has a nice little selection of food and drink and free internet (although fair play to cork it's free throughout the airport). My only issue with cork is that it doesn't open until i think something like : although the flight to amsterdam leaves at :. As with their other lounges no toilets although this doesn't really bother me that much.,3,-0.232618709
J Russell,I'm sitting in the lounge a bit incredulous that I paid for access to this. I paid for it because I had a lot of time to kill and it seemed a good way to pass the day. What a gloomy awful lounge. I found this page because I was looking to see if maybe I'd missed something because it seems there is no free WiFi. Completely insane. I thought this was for business travellers? The girl at the desk looked me up and down when I walked in too so apparently despite having a lounge that looks like a rd grade classroom without the fun stuff on the walls (or windows) they have a problem with how people dress? I'm neatly attired but I'm flying today so I am absolutely not wearing a suit. Anyway the long and short of it is that the lounge is unfriendly no amenities no toilets no natural light can't really see myself bothering with it again.,1,-1.798894906
Patrick Jordan,My first visit to the Gold Circle lounge in many months. I was aware from other reviews of the decrease in size but I didn't expect to see the work stations gone too. The only saving grace is that there is a choice of breads and pastries in the morning.,2,-1.015756808
Patrick Jordan,The range of food and beverages is reasonable. The main attraction of this lounge is that it is beside boarding gates. This evening I noticed the red wine bottle was empty. I asked the attendant to replace it but she wasn't able to open the new bottle. I can understand a bottle of wine being used but to have a staff member unable to open another is beyond belief. What used to be a very good lounge has become almost a joke.,2,-1.015756808
Shane Martin,The Gold Circle Lounge at EI home airport of Dublin has just been cut in size by around two thirds. Only a corner of the old lounge remains and the rest has been transformed into a staff room. Rather typical of EI really - an airline that typically seems to put staff ahead of customers. What remains of the lounge is mostly hard airport style seating. Not very must when we visited. Limited selection of drinks. Nice cookies. Glasses were very old and a little too dirty to use. Not convenient to most of EI's departure gates ( min walk and then backtrack +  more minutes).,1,-1.798894906
Dave Houlihan,I have posted previous comments on Aer Lingus lounges but nothing prepared me for the filthy tip that is Chicago Gold Circle lounge. Its tiny dirty furniture all stained ceiling was all stained. Drinks okay no food not even a cracker. I don't normally fly biz class with EI and judging by the reviews and the state of the lounges I never will.,2,-1.015756808
Mark Ackery,I got to use the Aer Lingus lounge as I was flying on Icelandair. This has got to be the pokiest grubbiest lounge I have ever seen or used. The food was soggy and not fresh and the decor is not very good. Gives a feeling of boredom and gloom. Aer Lingus needs to brighten this lounge up a lot. The lady there was nice and friendly - she was the best part about this lounge.,2,-1.015756808
G Reynolds,This lounge has so much potential - it's bright clean and offers sweeping views of the airfield. However the desk staff can range from super-friendly (letting me bring my kids in sometimes) to totally indifferent (too busy gossiping with colleagues to say hello). There is a good range of drinks on offer but food is poor and is restricted to bags of twiglets (does anyone actually like them??!) and crackers with DUTCH cheese (so much for strong Irish brand identity which Aer Lingus supposedly prides itself on). Plus there is a charge for internet usage which is a shame.,2,-1.015756808
S Halford,Very basic but better than filthy overcrowded terminal. Food choice limited to biscuits and packaged cheddar cheese. Good selection of drinks - alcoholic and non. Staff friendly to indifferent depending on when you visit. Washrooms outside lounge - shared with other lounges and filthy.,2,-1.015756808
S Halford,Excellent lounge with good selection of food drink and newspapers. Wifi access etc. I suspect that the high standards are not down to Aer Lingus as the lounge is shared with a number of major international airlines. I say this because the Aer Lingus exclusive lounges at Dublin (home base) and London Heathrow are extremely poor by comparison. Their lounges at Chicago O'Hare and Boston are amongst the worse I have ever encountered.,5,1.333657488
David Andrews,"Everyone agrees that this lounge beats sitting in the awful ""tube"" outside but that's about it. Aer Lingus you need to incorporate free WiFi some food e.g sandwiches or whatever and get some toilets in there. This is as another user points out barely worth the trouble of keeping up Gold Circle Membership for.",1,-1.798894906
C Wajsberg,"Air France lounge spacious without being nice, just practical. Breakfast consisted of croissants and some other food. On the Asian side different filled pastries and instant noodles. Plenty of fresh fruit also available. Alcohol and wine bar fully stocked already, even if it was  am and serve yourself as much as you want. Fine relaxing lounge with all you can wish for.",6,2.116795586
H Dalem,"The Galaxy Lounge at the E-Terminal looks a bit dated. It is a large and very open space. Enough different seating arrangements. A separate space for computers. And a food and drinks counter. Due to the open space one can hear almost every conversation. To make things worse they play loud music. Food is ok. Enough choice but not much of a display. Drinks are also ok. Enough choice. Alcohol you have to ask (except beer). WiFi speed is great and free. Shower room is a strange affair. You get a 'space towel' and some slippers. If you don't bring your own shampoo and/or soap, you are left with only water to wash yourself. The towel is a big paper cloth you can dispose of after the shower. Slippers have the same design. You don't enter this space for a spa treatment, but it does refresh. If you have to sit here for a long time this will not be a relaxing experience.",6,2.116795586
C Wajsberg,Small lounge with not enough comfortable chairs. No english or international reading material. Wifi works well. Food of very poor quality and boring. Was surely not impressed by this lounge but have visited worse in my life.,3,-0.232618709
Anders Pedersen,Aeroflot Galaxy Galaktica Sirius Classic Jazz and Blues Lounges in SVO. Access while travelling on business require invitation card from transfer desk but happened smoothly. In SVO you are semi-free to choose which of - Aeroflot lounges you want access to. I prefer the newest Galaktica (=Galaxy) in terminal E Classic in terminal F and Blues in terminal D. Other lounges like Sirius in E and Jazz in D (a parallel or copy of Blues) must wait for another time (Sirius is a special lounge at terminal E - only for disabled â€“ it is virtually a requirement for entering!). Drinks plenty â€“ up to medium quality. Lounge hopping not always possible - even by use of SKY-gold card. Lounges prefer you stay at the lounges at departing gate but it depends on staff. Galaktika is the best of all of those I know big and smart design and colourful orange furniture with good business and smoking sections â€“ further it has views to and outside airport. Other lounges do not have views. Views are much better from the commercial areas outside the lounges. Food is bread oriented but heating of croissants sandwiches bread rolls are possible. Some lounges (at least Classic) sells quality hot food at an additional price like a restaurant within the lobby. Showers fine but scarce.,3,-0.232618709
B Li,The reception turned me back to a transit desk for lounge invitation. Then I was turned again to a transit lounge nearby where I finally got the invitation printed out. Due to transit I was entitled to a lounge in terminal F (Sheremyetevo Classic) but remembering its poor dungeon-like conditions I sneaked into the Galactica - offering more space and windows. Food - only cold snacks (potato chips crackers peanuts bread with cheese bread with some sausage etc). Drinks - range of soft drinks and alcohol. Free WiFi. Lounge quite clean toilets inside shower room and smoking room under construction. On the way to the gate entered Sheremyetevo Classic lounge to find it has been refurbished - larger (but still much smaller than Galactica) completely renovated. Food the same in both lounges but I've noticed champagne available in the Classic. A smoking room inside available.,3,-0.232618709
B Li,Aeroflot used CX's The Wing lounge before so I was worried a bit about the new one. The Traveller's is not as airy and spacy as The Wing however well equipped and nice too. Many warm options for breakfast and free access to the alcohol bar. Just  showers (so you have to wait for your turn) maintained well and clean. Overall okay experience with good food and drinks.,4,0.550519389
S Khan,A throwback to the old Soviet era - except that they have  PCs with Internet access. The food is pretty bad: couple of bread rolls - but where is the margarine? Newspapers and magazines are all Russian - yet this lounge is for all Skyteam airlines. Bathrooms aren't clean. Sofas are pretty comfortable but there's no window view. A couple of television sets that are running the same damn Russian TV channel.,2,-1.015756808
Mike Franklin,Oh dear nothing changes here! Not allowed into the lounge until  hours before flight despite having a  hour layover. Once in the lounge you wonder what the wait was for. No natural light lounge arrange in  areas all rather dark and at peak times impossible to find a seat. The food is poor to say the least and staff at beverage counter seem reluctant to offer drinks! There are some PCs at one end but very variable connection and not very useful. Small toilet area no showers - all in all a disgrace for a SkyTeam member airline.,2,-1.015756808
Tammu Karte,It took a long walk and searching to arrive at the Premier International lounge after mistakenly entering the Domestic one in Terminal . There seems to be a shortage of cool air in the public areas of the terminal and the Business Lounge did not provide a relief at that point. Air seems to be in short supply here and was replenished every twenty minutes which seemed to be a long time when the indoor temperature reached F. The lounge is spacious with food offering that included: stale sandwiches good mini cheese cakes a good variety of packaged sweet and salty snacks cold drinks and unrefrigerated â€œicedâ€ tea. Computers for usage was complimentary.,3,-0.232618709
G Smith,I am writing this review as I sit in the lounge. Door understaffed & young man at desk very obviously nicer to male clients than myself as a solo middle aged woman. Lounge is poorly set up rather like a bus station where toomany travellers require seats for their bags & coats. Food selection is the worst I've seen in a lounge. Drinks selection is better but they sure do not hurry to put out the bubbly. The latest empty has been sitting on a counter for a half hour now. In general lots of empties left around to point some travellers are clearing up instead. Wifi works well at least.,2,-1.015756808
Juan Fernando,Very nice used it late in the night so not too many people. Nice selection of liquors and spirits. No food (only snacks as pastries some fruit granola peanuts and crackers) as their policy is to serve food only during Mexican meal times (- am - pm -pm). They have a wine club (paying customers) with excellent sandwiches. Nice selection of local newspapers but they should add some international newspapers and magazines. They have showers toilets video games section for kids internet area free wifi. Staff friendly and professional.,4,0.550519389
R Scot,Fairly basic lounge. Nice enough but a little crowded. Good selection of self serve alcohol and soft drinks. No real food beyond peanuts and stuff. Decent wireless and - internet terminals. Overall pretty nice for Tijuana.,3,-0.232618709
Ray Miles,Mexico City's new terminal  was barely up and running when I flew out on a Copa Airlines flight that gave me access to the Aeromexico lounge. The lounge is upstairs and is light elegant and airy albeit with no windows onto the tarmac. Comfy seating a separate computer area wifi throughout and attractive palm trees add a festive air. There is a circular bar that was unmanned during my visit plus a smaller self-service bar with an excellent selection of drinks and classy snacks. There is a separate screened-off TV lounge and another wine bar at the back for paying customers only. Since the lounge was brand-new it was obvious an effort was being made to impress. It will be important to monitor progress as time passes to see if the high standard in maintained.,4,0.550519389
J Williams,I wouldn't really call it a business class lounge. Its basically just seats in a bar that are reserved for Business Class passengers. There are no free refreshments and although there are a wide range of drinks and snacks available they are all quite expensive.,2,-1.015756808
Bertrand Chauffier,Somewhat small this is the single airport lounge at Almaty Airport what I believe services all airlines. Seating areas ok small bar and food counter to one side. I could not get my laptop to access any wifi. There was a computer station with internet access at one end of the room but the airport staff seemed to be using this when I visited! A small bathroom area  Tv's but not much else.,3,-0.232618709
Stefan Baldauf,"The lounge in Vienna that is open for Flyniki and Air Berlin flights is quite good. Nice range of breakfast stuff. (cheese, ham, marmelade), nice coffee range, some cereals, fresh fruit. The staff in the lounge is friendly and attentive.",6,2.116795586
Daniel Houser,Surprised at complete lack of lounge when flying Air Berlin out of Berlin. Because of the need to get transfer passport control and security check at gate you really have no option and then you're in a space too small for the number of people bad wifi inadequate lighting dirty and  food vendor as the only amenity. This business class lounge experience was quite surprising. Once I was on-board the experience was great but the departure experience will keep me from connecting through Berlin again.,1,-1.798894906
G Chandler,"Travellers are warned that the Air Canada Maple Leaf Lounge at Calgary Intl Airport is undergoing construction. Based on our visit, this is an understatement. We visited the lounge in mid-July  to be greeted by an experience of very poor seating, meagre food offerings and overcrowding. Even restrooms were only limitedly available, due to cleaning which went on for quite some time. In some cases, an airport may offer venues so peaceful and reasonable that it pays to visit them instead of using the airline lounge. The Maple Leaf Lounge at Calgary international exemplifies a second situation where the lounge is so inadequate and overcrowded that even poor airport venues make for a better place to wait for flights. Lounge personnel here were more interested in surfing the Internet than assisting airline customers with questions about connections or required services.",2,-1.015756808
Erez Hartal,"A nice lounge, with nice view of the tarmac.  soups on choice, Dips, as well as salads and sandwiches. Self serve soft drinks and alcohol. Have a kid zone, business center. I can see it can be crowded. Only accessible via elevators. No stairs. So take extra time before leaving the lounge to get to your gate. Better than any Delta, American, United lounges. Still weaker than average premium lounge in Europe.",6,2.116795586
Abbey Klugerman,The terminal is under renovation and as a result it was difficult to find the entrance to the Air Canada business class lounge. The seating in the lounge was okay (we spent a couple of hours there) but the food and the Air Canada staff were poor at best.,6,2.116795586
Stephen Lloyd,Having flow out of T twice on Eva Air recently this review covers both visits. Eva use the Air Canada lounge along with a couple of other Star Alliance carriers. It is close (- minutes) to the boarding gates but suffers like some others on T in that it's a fair hike from immigration to the gates/lounge. One inside it is very modern and comfortable with a nice bar and service good range of food and good personal space. Travelling on a Wednesday evening there were not many people in the lounge and it felt quite and comfortable. A vast improvement on the old T lounge shared with SAS.,4,0.550519389
M Trebuch,Worst lounge we have ever seen. Food buffet was almost empty and dirty and not filled up within hours. Washrooms very dirty. Noisy. Disappointing experience.,1,-1.798894906
P Rubenstein,"Air Canada has made significant improvements in most of its lounges and they are obvious with the upgrade in service and food selection being noticeable. Gone are the days of dirty dishes and rude staff. It has been a welcome improvement. Unfortunately the YYZ MLL International lounge at the E gates seems to have been left behind. On the day I used it it was very busy with limited food offered and an unpleasant ambience. There are just too many people using the lounge many of whom have access because of their frequent flyer status. The end result is that pax who are flying on the expensive long haul flights in business class receive a mediocre experience. It's time for AC to divide the lounge into two sections one for the true international business class and ""Super Elite"" status pax and the other for the basic ""Elite"" pax and those flying on shorter route Rouge Premium. Provide a quiet area with better food for the first group and keep the current set up for the second group. My biggest wish is for AC to provide decent wifi access in its Canadian lounges. I have had better wifi access in ""developing"" world airports.",2,-1.015756808
John Doran,Now seated in lounge after a two week trip with time spent in other business class lounges Think Toronto maple leaf lounge is one of the worst we have visited Have visited this lounge often but prompted to finally share my thoughts with other travellers as the offering of a few salad items chilli Con carne and stale bread receives a failing grade Air Canada's food is consistently weaker than other competitors.,2,-1.015756808
M Smyth,Very comfortable and nicely decorated lounge with small but high quality food and drinks selection. Plenty of seating space and some proper tables and chairs to dine at rather than just sofas everywhere. Nice place.,5,1.333657488
Barbara Wiltshire,This is the worst lounge. Bathrooms dirty and over flowing trash minimal lounge areas and NO BAR. They don't have a liquor license. All this at a time when the terminal at LAX is under renovation and offers minimal services. I can't believe a first class lounge could be so bad.,1,-1.798894906
Chilun Li,I visit this Lounge six times a year in the pass few years. In my every visit the feelings are more or less the same in average except the food choices is very disappointing only cup cakes vegetables and cold boiled eggs. I have never encounter of any hot food nor hot soup in this lounge. Asian instant noodle is never seen here. My wife even prefer to sit outside in those paid cafe to have proper eating.,3,-0.232618709
R Kindrachuk,Worst lounge we have ever experienced poor service no food except crackers and cheese. Our flight was late and did not leave till : am the lounge closed at : pm. The seating was very uncomfortable bar only had very cheap wines that were free. Overall it was awful.,1,-1.798894906
D Carter,"I am always pretty pleased with the Air Canada Lounges (Vancouver is very good and so is Edmonton). Calgary has always been a large and crowded one. They have just done some renovations and while it looks much better (and the staff are invariably courteous and helpful) there is one down-side. There is no longer a self-serve bar. Been through there at least six times in the last month. When the Lounge is not too busy the bar is just fine (they will mix your drink or pour your wine) BUT when the Lounge is busy you end up standing along the bar with people several travellers deep... trying to get the bartender's attention. Once you have it it is very good - not sure if they are trying to control alcohol cost by not letting you ""help yourself"" but it certainly (only when the Lounge is busy as it often is) slows you down. I only had a  minute change of planes and could not get anything for the first minutes - waited at the bar got my wine drank half and had to leave. Again - it looks great but it is tougher if you are in a hurry. Staff still very courteous.",4,0.550519389
W Atkinson,After a very long walk from check in through security and then into TB (this is the terminal adjacent to the new Terminal  at Heathrow where Air Canada has its arrival/departure operations) we finally arrived at the Lounge,,
W Atkinson,vMy spouse and I were flying to LHR via YUL on Premium Economy fares so we were able to purchase Maple Leaf (ML) access for the day of our travel. This is a relatively new Lounge in Winnipeg's James Richardson International Airport which opened a new terminal in . The Lounge is easy to find near Gate . Staff were not particularly friendly and just verified our boarding passes without comment. We got seating window-side and helped ourselves to beverages and breakfast prior to our flight to YUL. All amenities and services were very good and seating is plentiful and comfortable.,4,0.550519389
W Atkinson,After a long and frustrating process getting through customs and security after our flight from LHR we were looking forward to accessing the domestic terminal ML Lounge before our next two flights home. As usual it was a challenge finding the Lounge and the few Air Canada employees we talked to just grunted and pointed to another annex of the domestic terminal to its location - still not clear. We walked a considerable distance from our departure gate to somewhere near Gate  to access the Lounge. We were greeted by the same indifference from Lounge staff we experienced in our previous three ML Lounge visits in our trip to the UK,,
W Atkinson,After a very long walk from Gate  to Gate  we finally found the Maple Leaf Lounge in the International area of the YUL terminal. We found way finding signage in YUL to be barely adequate and that is being generous. This also held true for finding this Lounge. Staff were polite but not overly friendly,,
Paul Nesbitt,EVA use the Air Canada Lounge in the new Terminal . A very nice airy new lounge at the new Terminal. It was very quiet when I was there ,,
David Gallant,We visited the Air Canada transborder Lounge on the th of Sept. We were very pleased with the service and facilities offered. We had a long lay over and enjoyed both the breakfast and lunch offered. A variety of beverages were available. The lounge was very clean and roomy.,5,1.333657488
J Taylor,BRU-YUL-SFO. We went out of our way to fly Air Canada back home from Europe. Had a -hour layover in Montreal which was nice. Easy access to the lounge staff speaks English and French (and possibly some other languages) quite fluently. Food in the lounge was not up to par (about  ml of cold pasta salad and some other similarly sized items were available for everybody). I went downstairs to the Burger King. Other than that however the internet is fast and functional there is a television and a wide selection of alcoholic beverages in an open-bar format. Not the best lounge but certainly not the worst.,4,0.550519389
R Tilling,I arrived at this lounge and it was hard to find a seat. the food was horrible. Empty hot meal trays just nacho chips salad and dips. Molsen beer tap was broken wine selection of one white and one red.,1,-1.798894906
C Moreira,The lounge of transhipment for flights to the United States. provides appropriate care. The Buffett is very good tasty including wide range of drinks. Wi Fi works and is fast. There are several workstation. The furniture is beautiful. In the room you stay comfortable all the time. A proper and respectful service with passengers. If you option Air Canada deserves to be prestigious.,4,0.550519389
R Arzah,The Maple Leaf Lounge in the International Section of Terminal  at Toronto's Pearson Airport is a pleasant lounge with lots of seating. The lounge has a good selection of drinks but the food selection is much less than what one gets in Europe or Asia. I was in the lounge in the evening (after :pm) and they had noodles and a cold salad. They may have had soup as well. Cookies were available. The beverage supply is large and self serve. There are three Air Canada (Maple Leaf) Lounges at Toronto's Pearson Airport Terminal  one domestic one International and one for flights to the U.S. This review is for the international lounge which is used for Air Canada and Star Alliance members. In terms of layout and aesthetics this is a very pleasant lounge. It has a business area lots of seating showers and eating areas with big screen tvs. The newspaper and magazibne supply is huge The airport has free wifi,,
N Erskine,"Have visited this lounge in the ""rock wall"" in the domestic area several times over the past few years this visit in March  I noticed that the food selection had improved. I was there at am on a Friday morning for . hrs and aside from the usual cold cereal hot oatmeal make your own toast small muffins/pastries and fruit there was a covered hot container with small omelets hash browns and large home fries. The coffee machines are wonderful offering mochas  lattes cappuccinos etc. Also hot chocolate. The serving dishes were kept filled and there was someone going around picking up used plates/cups etc frequently. The lounge seemed very clean as well as the women's washroom. The lounge is large and was about /-/ full all the time I was there. Good selection of newspapers and lots of different magazines. Wifi seemed to work fine the little I used it. Great view of the continuous action out on the tarmac!",5,1.333657488
Sang Fung,I have a Priority Pass and on my way from CPT to BOS via LHR I had about  hours to kill. I thought I would use the lounge airside but after a  hour flight I wanted a shower and a light breakfast. This Air Canada Arrivals was heaven sent. It is just outside the arrivals hall to the left. Please watch out for signs because it is quite tricky to find. Once you are there the small but cosy lounge welcomes you with open arms. Good hot and cold food plus good coffee or tea a shower (very refreshing) and comfortable seats. Small if the place is crowded but at am it was very quiet.,5,1.333657488
Ian Cromack,My first experience of YYZ's T Domestic lounge got off to a bad start as the agent at the desk was engaged in a scintillating conversation with another agent regarding the closest gas stations to their homes. She never made eye contact offered any sort of welcome and simply handed back my boarding pass without so much as a thank you. Thanks Air Canada for making me feel like a valued customer! The lounge itself is attractive well groomed has ample seating and moderately appealing food choices. A far cry from the catering one would find in Star Alliance lounges in Europe or Asia but not bad by North American (United for example) standards.,3,-0.232618709
Keith Rogers,Wow a bad terminal in a horrible airport with a terrible lounge. Small poor food poor seating tiny and overall as far as international lounges a real disappointment. The Starbucks on main level is much better.,2,-1.015756808
V Nagaraj,The quality of internet access that the lounge offers is a joke. They expect Star Alliance Gold customers to pay $. to use the internet because the free service they offer cannot even open basic websites. What's more embarrassing is that the free service offered by Vancouver airport is much faster and doesn't cripple your access to web services. Other Star Alliance members should return the favour for Air Canada visitors to their lounges. In a world where bandwidth has become as cheap as water it is ridiculous that Air Canada can get away with fleecing other Star Alliance customers.,3,-0.232618709
J Patterson,Lounge in Beijing which we used twice (London to Sydney return) was fine but did not have enough toilets and showers.,3,-0.232618709
Ralf Friedrichsen,Arriving in Toronto at about .pm we had a very long layover since the departure to CPH was at .. The lounge was ok but the food choices and quality were very disappointing. Sort of dry boring sandwiches and three different warm dishes - all tasteless. If we should have waiting time at Toronto airport another day we rather pay for food in one of the eating places in the terminal than eating in the lounge. For a business class lounge of a  star airline the food is not adequate and compared to Scandinavian Airlines lounge in Copenhagen and Chicago it's poor. Even the TAP lounge at Lisbon airport has better food quality.,3,-0.232618709
R Auld,Nice lounge quiet and good internet  but needs to have dirty dishes picked up more often. Also their food offerings are poor. empty wine bottles and no staff to ask for assistance. Chips and hummus you need to scrape the bowl for. They need more staff and replace items more often. I still recommend it but if you need food go get it somewhere else first.,3,-0.232618709
M Swaiton,We used this on our inbound flight from New York and clearly we arrived at peak time. Not a seat to be found and the lounge was generally dirty and poorly managed. Staff on front-desk were more like guards than customer service staff. They scowled did not look up to greet us and were a very poor impression of Chinese service - in fact they were just rude. Food (as commented here already) was like a poor quality works canteen and mushy food that was not even hot. I looked at shower after a  minute wait and decided against using it. How does Star Alliance allow Air China to stay in with such low standard facilities? Never again on Air China.,2,-1.015756808
P Bingham,At peak times the lounge gets very crowded and on hot sunny days you should avoid this lounge - it is stifling and the aircon never works properly. Staff on reception can be very friendly or very rude and inattentive - there does not seem to be an area in the middle. You can no longer get a fresh coffee and they removed the coffee machine that was installed for a few months and this is first class! The food is canteen type and rather greasy chinese food and probably best to wait for your flight to get a bite to eat. The toilets are kept clean by attendant that waits for you to tip him when you go in! The shower is tiny smells of drains and is best avoided. Furniture is tired and quite grubby and generally feel this lounge has continued to get worse and worse in the last  years. Avoid and go downstairs to Pizza Hut or Costa/Starbucks coffee for a nicer experience.,2,-1.015756808
M Solo,The lounge was physically fine but the snacks/food offerings were pathetic. A few applies and bananas sliced white bread for toast and pitchers of juice. I ended up with cereal and milk and thinking that there was great food for people flying coach right outside the doors. Also even with a sparsely populated lounge there was a line for the mens room because the mens room must apparently only cater to one person at a time.,2,-1.015756808
R Menes,I was surprised by the selection of quality food and alcoholic beverages. Being US-based I was able to compare the many differences between the US airline lounges with the quality of Air Canada. Maple Leaf Lounges are definitely the benchmark for other North American Airlines.,5,1.333657488
Harry Aronowicz,"I used the lounge on nd December  at around AM. The staff at the welcome desk worked very hard to solve a very tricky problem. Their knowledge and level of care was absolutely great. They solved a problem which could have ruined our long planned holiday. I was very impressed and thankful. If there would be a possibility to rate the level of ""Standard of Staff Service"" better then Excellent - I would do so. The Transborder Maple Leaf Lounge at Terminal  Toronto Airport was exceptional due to the superior staff.",3,-0.232618709
Jeremy Lawrance,The lounge is spacious with leather seats in groups of two. There are some dining tables in the area of the food. The food was mixed Chinese with a choice of dumplings noodles and stir fries. Sandwiches and other packaged snacks are plentiful. Beer and wine is available but wine selection is limited. There are several sleeping pods available together with small shower facility.,4,0.550519389
